symbol,name,sector,source_etfs
HOPE,HOPE BANCORP INC,Financials,IJR
PEB,PEBBLEBROOK HOTEL TRUST REIT,Real Estate,IJR
KSS,KOHLS CORP,Consumer Discretionary,IJR
PBI,PITNEY BOWES INC,Industrials,IJR
NVRI,ENVIRI CORP,Industrials,IJR
OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,IJR
HTH,HILLTOP HOLDINGS INC,Financials,IJR
BL,BLACKLINE INC,Information Technology,IJR
SNDR,SCHNEIDER NATIONAL INC CLASS B,Industrials,IJR
XHR,XENIA HOTELS RESORTS REIT INC,Real Estate,IJR
VRE,VERIS RESIDENTIAL INC,Real Estate,IJR
PRLB,PROTO LABS INC,Industrials,IJR
TFIN,TRIUMPH FINANCIAL INC,Financials,IJR
LKFN,LAKELAND FINANCIAL CORP,Financials,IJR
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES I,Real Estate,IJR
GBX,GREENBRIER INC,Industrials,IJR
HCSG,HEALTHCARE SERVICES GROUP INC,Industrials,IJR
AORT,ARTIVION INC,Health Care,IJR
TNC,TENNANT,Industrials,IJR
WKC,WORLD KINECT CORP,Energy,IJR
PGNY,PROGYNY INC,Health Care,IJR
ARLO,ARLO TECHNOLOGIES INC,Information Technology,IJR
ASTE,ASTEC INDUSTRIES INC,Industrials,IJR
UFPT,UFP TECHNOLOGIES INC,Health Care,IJR
LFST,LIFESTANCE HEALTH GROUP INC,Health Care,IJR
DV,DOUBLEVERIFY HOLDINGS INC,Communication,IJR
ASTH,ASTRANA HEALTH INC,Health Care,IJR
LEG,LEGGETT & PLATT INC,Consumer Discretionary,IJR
DCOM,DIME COMMUNITY BANCSHARES INC,Financials,IJR
GNL,GLOBAL NET LEASE INC,Real Estate,IJR
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,IJR
PENG,PENGUIN SOLUTIONS INC,Information Technology,IJR
DEI,DOUGLAS EMMETT REIT INC,Real Estate,IJR
MCRI,MONARCH CASINO AND RESORT INC,Consumer Discretionary,IJR
ARI,APOLLO COMMERCIAL REAL ESTATE FINA,Financials,IJR
LZB,LA-Z-BOY INC,Consumer Discretionary,IJR
ANIP,ANI PHARMACEUTICALS INC,Health Care,IJR
PAYO,PAYONEER GLOBAL INC,Financials,IJR
LPG,DORIAN LPG LTD,Energy,IJR
PRG,PROG HOLDINGS INC,Financials,IJR
HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,IJR
CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,IJR
SLVM,SYLVAMO CORP,Materials,IJR
AHCO,ADAPTHEALTH CORP,Health Care,IJR
DLX,DELUXE CORP,Industrials,IJR
MAN,MANPOWER INC,Industrials,IJR
CWENA,CLEARWAY ENERGY INC CLASS A,Utilities,IJR
WWW,WOLVERINE WORLD WIDE INC,Consumer Discretionary,IJR
OI,O I GLASS INC,Materials,IJR
FDP,FRESH DEL MONTE PRODUCE INC,Consumer Staples,IJR
CRK,COMSTOCK RESOURCES INC,Energy,IJR
JBLU,JETBLUE AIRWAYS CORP,Industrials,IJR
SBH,SALLY BEAUTY HOLDINGS INC,Consumer Discretionary,IJR
REX,REX AMERICAN RESOURCES CORP,Energy,IJR
PDFS,PDF SOLUTIONS INC,Information Technology,IJR
MBIN,MERCHANTS BANCORP,Financials,IJR
ABR,ARBOR REALTY TRUST REIT INC,Financials,IJR
SEZL,SEZZLE INC,Financials,IJR
UPWK,UPWORK INC,Industrials,IJR
DCH,DAUCH CORPORATION,Consumer Discretionary,IJR
JJSF,J AND J SNACK FOODS CORP,Consumer Staples,IJR
ENOV,ENOVIS CORP,Health Care,IJR
WABC,WESTAMERICA BANCORPORATION,Financials,IJR
AESI,ATLAS ENERGY SOLUTIONS INC,Energy,IJR
UVV,UNIVERSAL CORP,Consumer Staples,IJR
DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,Financials,IJR
TNDM,TANDEM DIABETES CARE INC,Health Care,IJR
CRI,CARTERS INC,Consumer Discretionary,IJR
STAA,STAAR SURGICAL,Health Care,IJR
KW,KENNEDY WILSON HOLDINGS INC,Real Estate,IJR
HLIT,HARMONIC INC,Information Technology,IJR
NSP,INSPERITY INC,Industrials,IJR
TRIP,TRIPADVISOR INC,Communication,IJR
PRA,PROASSURANCE CORP,Financials,IJR
WS,WORTHINGTON STEEL INC,Materials,IJR
HRMY,HARMONY BIOSCIENCES HLDG INC,Health Care,IJR
VTOL,BRISTOW GROUP INC,Energy,IJR
ACT,ENACT HOLDINGS INC,Financials,IJR
TWO,TWO HARBORS INVESTMENT CORP,Financials,IJR
XPEL,XPEL INC,Consumer Discretionary,IJR
NEO,NEOGENOMICS INC,Health Care,IJR
ENR,ENERGIZER HOLDINGS INC,Consumer Staples,IJR
UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,IJR
PZZA,PAPA JOHNS INTERNATIONAL INC,Consumer Discretionary,IJR
PRGS,PROGRESS SOFTWARE CORP,Information Technology,IJR
LNN,LINDSAY CORP,Industrials,IJR
SAH,SONIC AUTOMOTIVE INC CLASS A,Consumer Discretionary,IJR
GIII,G III APPAREL GROUP LTD,Consumer Discretionary,IJR
VIR,VIR BIOTECHNOLOGY INC,Health Care,IJR
ROCK,GIBRALTAR INDUSTRIES INC,Industrials,IJR
REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,IJR
AVNS,AVANOS MEDICAL INC,Health Care,IJR
CSR,CENTERSPACE,Real Estate,IJR
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,IJR
MBC,MASTERBRAND INC,Industrials,IJR
CNMD,CONMED CORP,Health Care,IJR
HFWA,HERITAGE FINANCIAL CORP,Financials,IJR
WINA,WINMARK CORP,Consumer Discretionary,IJR
SAFT,SAFETY INSURANCE GROUP INC,Financials,IJR
GSHD,GOOSEHEAD INSURANCE INC CLASS A,Financials,IJR
WEN,WENDYS,Consumer Discretionary,IJR
MLKN,MILLERKNOLL INC,Industrials,IJR
PAHC,PHIBRO ANIMAL HEALTH CORP CLASS A,Health Care,IJR
VSTS,VESTIS CORP,Industrials,IJR
USPH,US PHYSICAL THERAPY INC,Health Care,IJR
AOSL,ALPHA AND OMEGA SEMICONDUCTOR LTD,Information Technology,IJR
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,IJR
SCL,STEPAN,Materials,IJR
INVX,INNOVEX INTERNATIONAL INC,Energy,IJR
COLL,COLLEGIUM PHARMACEUTICAL INC,Health Care,IJR
TMP,TOMPKINS FINANCIAL CORP,Financials,IJR
FTRE,FORTREA HOLDINGS INC,Health Care,IJR
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,Financials,IJR
EPC,EDGEWELL PERSONAL CARE,Consumer Staples,IJR
PCRX,PACIRA BIOSCIENCES INC,Health Care,IJR
UPBD,UPBOUND GROUP INC,Consumer Discretionary,IJR
ALGT,ALLEGIANT TRAVEL,Industrials,IJR
DEA,EASTERLY GOVERNMENT PROPERTIES INC,Real Estate,IJR
AZTA,AZENTA INC,Health Care,IJR
CVI,CVR ENERGY INC,Energy,IJR
LGIH,LGI HOMES INC,Consumer Discretionary,IJR
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,IJR
PRKS,UNITED PARKS AND RESORTS INC,Consumer Discretionary,IJR
VYX,NCR VOYIX CORP,Information Technology,IJR
UTL,UNITIL CORP,Utilities,IJR
MSEX,MIDDLESEX WATER,Utilities,IJR
VRTS,VIRTUS INVESTMENT PARTNERS INC,Financials,IJR
SBSI,SOUTHSIDE BANCSHARES INC,Financials,IJR
WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,IJR
THRM,GENTHERM INC,Consumer Discretionary,IJR
NX,QUANEX BUILDING PRODUCTS CORP,Industrials,IJR
CFFN,CAPITOL FEDERAL FINANCIAL INC,Financials,IJR
PRSU,PURSUIT ATTRACTIONS AND HOSPITALIT,Consumer Discretionary,IJR
EFOR,EVERFORTH INC,Information Technology,IJR
MATW,MATTHEWS INTERNATIONAL CORP CLASS,Consumer Discretionary,IJR
UFCS,UNITED FIRE GROUP INC,Financials,IJR
JBGS,JBG SMITH PROPERTIES,Real Estate,IJR
MRTN,MARTEN TRANSPORT LTD,Industrials,IJR
HAFC,HANMI FINANCIAL CORP,Financials,IJR
TR,TOOTSIE ROLL INDUSTRIES INC,Consumer Staples,IJR
XNCR,XENCOR INC,Health Care,IJR
TRST,TRUSTCO BANK CORP,Financials,IJR
PRAA,PRA GROUP INC,Financials,IJR
WSR,WHITESTONE REIT,Real Estate,IJR
CPF,CENTRAL PACIFIC FINANCIAL CORP,Financials,IJR
SNCY,SUN COUNTRY AIRLINES HOLDINGS INC,Industrials,IJR
LQDT,LIQUIDITY SERVICES INC,Industrials,IJR
QDEL,QUIDELORTHO CORP,Health Care,IJR
BLFS,BIOLIFE SOLUTIONS INC,Health Care,IJR
PFBC,PREFERRED BANK,Financials,IJR
SCHL,SCHOLASTIC CORP,Communication,IJR
SCSC,SCANSOURCE INC,Information Technology,IJR
TRUP,TRUPANION INC,Financials,IJR
BJRI,BJS RESTAURANTS INC,Consumer Discretionary,IJR
FIZZ,NATIONAL BEVERAGE CORP,Consumer Staples,IJR
KOP,KOPPERS HOLDINGS INC,Materials,IJR
HTZ,HERTZ GLOBAL HLDGS INC,Industrials,IJR
AMN,AMN HEALTHCARE INC,Health Care,IJR
APOG,APOGEE ENTERPRISES INC,Industrials,IJR
SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,IJR
AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,IJR
GO,GROCERY OUTLET HOLDING CORP,Consumer Staples,IJR
EIG,EMPLOYERS HOLDINGS INC,Financials,IJR
ADAM,ADAMAS INC TRUST,Financials,IJR
LZ,LEGALZOOM COM INC,Industrials,IJR
JBSS,JOHN B SANFILIPPO AND SON INC,Consumer Staples,IJR
FBRT,FRANKLIN BSP REALTY TRUST INC,Financials,IJR
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,IJR
NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,IJR
SAFE,SAFEHOLD INC,Real Estate,IJR
CERT,CERTARA INC,Health Care,IJR
QNST,QUINSTREET INC,Communication,IJR
UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,IJR
CNXN,PC CONNECTION INC,Information Technology,IJR
SABR,SABRE CORP,Consumer Discretionary,IJR
SHEN,SHENANDOAH TELECOMMUNICATIONS,Communication,IJR
EGBN,EAGLE BANCORP INC,Financials,IJR
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Health Care,IJR
RES,RPC INC,Energy,IJR
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,IJR
MCW,MISTER CAR WASH INC,Consumer Discretionary,IJR
RWT,REDWOOD TRUST REIT INC,Financials,IJR
MTUS,METALLUS INC,Materials,IJR
CLB,CORE LABORATORIES INC,Energy,IJR
SDGR,SCHRODINGER INC,Health Care,IJR
MMI,MARCUS & MILLICHAP INC,Real Estate,IJR
AMWD,AMERICAN WOODMARK CORP,Industrials,IJR
NXRT,NEXPOINT RESIDENTIAL TRUST INC,Real Estate,IJR
NAVI,NAVIENT CORP,Financials,IJR
HTLD,HEARTLAND EXPRESS INC,Industrials,IJR
CXM,SPRINKLR INC CLASS A,Information Technology,IJR
OXM,OXFORD INDUSTRIES INC,Consumer Discretionary,IJR
AMSF,AMERISAFE INC,Financials,IJR
GDEN,GOLDEN ENTERTAINMENT INC,Consumer Discretionary,IJR
EXPI,EXP WORLD HOLDINGS INC,Real Estate,IJR
HZO,MARINEMAX INC,Consumer Discretionary,IJR
EMBC,EMBECTA CORP,Health Care,IJR
UHT,UNIVERSAL HEALTH REALTY INCOME TRU,Real Estate,IJR
MNRO,MONRO INC,Consumer Discretionary,IJR
VITL,VITAL FARMS INC,Consumer Staples,IJR
IIIN,INSTEEL INDUSTRIES INC,Industrials,IJR
CTKB,CYTEK BIOSCIENCES INC,Health Care,IJR
ETD,ETHAN ALLEN INTERIORS INC,Consumer Discretionary,IJR
HSTM,HEALTHSTREAM INC,Health Care,IJR
FWRD,FORWARD AIR CORP,Industrials,IJR
BFS,SAUL CENTERS REIT INC,Real Estate,IJR
CABO,CABLE ONE INC,Communication,IJR
DFH,DREAM FINDERS HOMES INC CLASS A,Consumer Discretionary,IJR
WRLD,WORLD ACCEPTANCE CORP,Financials,IJR
SSTK,SHUTTERSTOCK INC,Communication,IJR
NABL,N ABLE INC,Information Technology,IJR
GDYN,GRID DYNAMICS HOLDINGS INC CLASS A,Information Technology,IJR
GOGO,GOGO INC,Communication,IJR
CRSR,CORSAIR GAMING INC,Information Technology,IJR
CENT,CENTRAL GARDEN AND PET,Consumer Staples,IJR
