symbol,name,sector,source_etfs
BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,IJR
MYRG,MYR GROUP INC,Industrials,IJR
ACA,ARCOSA INC,Industrials,IJR
PAYC,PAYCOM SOFTWARE INC,Industrials,IJR
MSGS,MADISON SQUARE GARDEN SPORTS CORP,Communication,IJR
NPO,ENPRO INC,Industrials,IJR
JBTM,JBT MAREL CORP,Industrials,IJR
LW,LAMB WESTON HOLDINGS INC,Consumer Staples,IJR
GVA,GRANITE CONSTRUCTION INC,Industrials,IJR
PIPR,PIPER SANDLER COMPANIES,Financials,IJR
VSNT,VERSANT MEDIA GROUP INC,Communication,IJR
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care,IJR
MXL,MAXLINEAR INC,Information Technology,IJR
REZI,RESIDEO TECHNOLOGIES INC,Industrials,IJR
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,IJR
KGS,KODIAK GAS SERVICES INC,Energy,IJR
LYFT,LYFT INC CLASS A,Industrials,IJR
KMX,CARMAX INC,Consumer Discretionary,IJR
ALKS,ALKERMES,Health Care,IJR
MAC,MACERICH REIT,Real Estate,IJR
MKTX,MARKETAXESS HOLDINGS INC,Financials,IJR
MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,IJR
TFX,TELEFLEX INC,Health Care,IJR
LBRT,LIBERTY ENERGY INC CLASS A,Energy,IJR
ABCB,AMERIS BANCORP,Financials,IJR
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,IJR
MATX,MATSON INC,Industrials,IJR
RITM,RITHM CAPITAL CORP,Financials,IJR
AX,AXOS FINANCIAL INC,Financials,IJR
CRC,CALIFORNIA RESOURCES CORP,Energy,IJR
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials,IJR
AUB,ATLANTIC UNION BANKSHARES CORP,Financials,IJR
LNC,LINCOLN NATIONAL CORP,Financials,IJR
BCPC,BALCHEM CORP,Materials,IJR
PTCT,PTC THERAPEUTICS INC,Health Care,IJR
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,IJR
ATMU,ATMUS FILTRATION TECHNOLOGIES INC,Industrials,IJR
RAL,RALLIANT CORP,Information Technology,IJR
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,IJR
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,IJR
FTDR,FRONTDOOR INC,Consumer Discretionary,IJR
VSEC,VSE CORP,Industrials,IJR
DIOD,DIODES INC,Information Technology,IJR
JXN,JACKSON FINANCIAL INC CLASS A,Financials,IJR
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology,IJR
SXT,SENSIENT TECHNOLOGIES CORP,Materials,IJR
CSW,CSW INDUSTRIALS INC,Industrials,IJR
YOU,CLEAR SECURE INC CLASS A,Information Technology,IJR
MRP,MILLROSE PROPERTIES INC CLASS A,Real Estate,IJR
MDU,MDU RESOURCES GROUP INC,Utilities,IJR
CNR,CORE NATURAL RESOURCES INC,Energy,IJR
TGTX,TG THERAPEUTICS INC,Health Care,IJR
INDV,INDIVIOR PHARMACEUTICALS INC,Health Care,IJR
MARA,MARA HOLDINGS INC,Information Technology,IJR
LGND,LIGAND PHARMACEUTICALS INC,Health Care,IJR
MTH,MERITAGE CORP,Consumer Discretionary,IJR
RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,IJR
OUT,OUTFRONT MEDIA INC,Real Estate,IJR
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology,IJR
ACIW,ACI WORLDWIDE INC,Information Technology,IJR
OSIS,OSI SYSTEMS INC,Information Technology,IJR
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication,IJR
MWA,MUELLER WATER PRODUCTS INC SERIES,Industrials,IJR
CORT,CORCEPT THERAPEUTICS INC,Health Care,IJR
ENPH,ENPHASE ENERGY INC,Information Technology,IJR
AIR,AAR CORP,Industrials,IJR
